M_h2o	M_chsterol	R_r1177	NaN
M_HC02023	M_ocdcea	R_r1178	0.4
M_HC02023	M_chsterol	R_r1178	0.6
M_h2o	M_ocdcea	R_r1178	NaN
M_h2o	M_chsterol	R_r1178	NaN
M_HC02024	M_lnlc	R_r1179	0.4
M_HC02024	M_chsterol	R_r1179	0.6
M_h2o	M_lnlc	R_r1179	NaN
M_h2o	M_chsterol	R_r1179	NaN
M_succ	M_succoa	R_SUCOASm	1.0
M_succoa	M_succ	R_SUCOASm	0.16
M_succ	M_adp	R_SUCOASm	0.0
M_adp	M_succ	R_SUCOASm	0.0
M_succ	M_pi	R_SUCOASm	0.0
M_pi	M_succ	R_SUCOASm	NaN
M_atp	M_succoa	R_SUCOASm	0.0
M_succoa	M_atp	R_SUCOASm	0.0
M_atp	M_adp	R_SUCOASm	1.0
M_adp	M_atp	R_SUCOASm	1.0
M_atp	M_pi	R_SUCOASm	0.0
M_pi	M_atp	R_SUCOASm	NaN
M_coa	M_succoa	R_SUCOASm	1.0
M_succoa	M_coa	R_SUCOASm	0.84
M_coa	M_adp	R_SUCOASm	0.0
M_adp	M_coa	R_SUCOASm	0.0
M_coa	M_pi	R_SUCOASm	0.0
M_pi	M_coa	R_SUCOASm	NaN
M_nadph	M_nadp	R_P45011B12m	1.0
M_nadph	M_crtsl	R_P45011B12m	0.0
M_nadph	M_h2o	R_P45011B12m	0.0
M_o2	M_nadp	R_P45011B12m	NaN
M_o2	M_crtsl	R_P45011B12m	NaN
M_o2	M_h2o	R_P45011B12m	NaN
M_11docrtsl	M_nadp	R_P45011B12m	0.0
M_11docrtsl	M_crtsl	R_P45011B12m	1.0
M_11docrtsl	M_h2o	R_P45011B12m	0.0
M_ctp	M_cmp2amep	R_EPCTX	1.0
M_ctp	M_ppi	R_EPCTX	0.0
M_2ameph	M_cmp2amep	R_EPCTX	1.0
M_2ameph	M_ppi	R_EPCTX	0.0
M_dgcholcoa	M_coa	R_BAAT3x	0.4666666666666667
M_dgcholcoa	M_dgchol	R_BAAT3x	0.5333333333333333
M_gly	M_coa	R_BAAT3x	0.0
M_gly	M_dgchol	R_BAAT3x	1.0
M_vacccoa	M_coa	R_VACCCPT1	0.5384615384615384
M_vacccoa	M_vacccrn	R_VACCCPT1	0.46153846153846156
M_crn	M_coa	R_VACCCPT1	0.0
